id,tipo_vivienda,calle,zona,ciudad,precio,num_habitaciones,superficie_m2,garaje,descripcion,url
108371700,Piso,Cuesta de Santo Domingo,Palacio,Madrid,800.000€,3,105,False,"GILMAR Consulting Inmobiliario presenta espectacular vivienda exterior con 6 balcones en esquina en el corazón de Madrid. La vivienda se presenta como una oportunidad única de inversión en el centro de Madrid. Situada en el emblemático barrio de Palacio, en el distrito Centro de Madrid, esta vivienda exterior consta de 105 m², con 6 balcones a la calle, 3 de ellos con vistas a la calle Campomanes. En una ubicación privilegiada: a tan solo unos pasos de la Plaza de Isabel II, el Palacio Real y el Senado, esta vivienda está rodeada de historia,",https://www.idealista.com/inmueble/108371700/
108324155,Ático,Calle de las Aguas,Palacio,Madrid,850.000€,2,106,False,"**Exclusivo ático en el emblemático barrio de Palacio, Madrid** Descubre este magnífico ático de 98m2 en uno de los enclaves más históricos y codiciados de Madrid. Este elegante inmueble cuenta con 2 dormitorios, 2 baños, una cocina completamente equipada y un salón independiente bañado por luz natural gracias a su orientación este. Su diseño exterior y su impecable estado de conservación lo convierten en un refugio perfecto para quienes buscan un hogar sofisticado y listo para entrar a vivir. La finca, construida en 1940, es un ejemplo de",https://www.idealista.com/inmueble/108324155/
106702840,Piso,Calle del Carril de los Caleros,Aravaca,Madrid,1.335.000€,3,157,False,"Impecable piso de 157 m² con terraza de 130 m² en venta en urbanización cerrada con piscina. En buenísima ubicación por cercanía a zona comercial y de ocio, servicios y bien comunicada por transporte público y principales carreteras. Distribución: · Amplio hall de recibo. · Aseo de visitas. · Armario gabanero. · Cocina office con tendedero y salida a terraza. · Salón comedor con salida a terraza. · Dos dormitorios. · Baño completo. · Dormitorio principal con vestidor y baño completo. Puedes ver más inmuebles en nuestra página web. Entre el M",https://www.idealista.com/inmueble/106702840/
,,,,,,,,False,,
105036254,Piso,Calle de Noblejas,Palacio,Madrid,1.495.000€,3,164,False,"¡Exclusivo Piso en Venta en el Corazón de Madrid! Este impresionante piso de 164 m² combina elegancia, confort y una ubicación inmejorable, ideal para quienes buscan vivir en una vivienda de alta calidad y con historia. Además, ha sido completamente reformado y está listo para estrenar, con acabados y mobiliario totalmente nuevos que garantizan calidad, funcionalidad y un estilo impecable. Alojado en un magnífico edificio en el corazón de Madrid, construido en 1834 y con casi dos siglos de historia, este inmueble aporta un carácter y un valor",https://www.idealista.com/inmueble/105036254/
108046286,Piso,Calle de Vallehermoso,Arapiles,Madrid,970.000€,3,169,False,"En el prestigioso barrio de Vallehermoso, dentro del distrito de Chamberí, se encuentra un piso excepcional que redefine el concepto de vida urbana. Con una superficie de 169 m², esta vivienda en altura ofrece un ambiente de luminosidad y confort inigualable, gracias a su orientación suroeste que garantiza la entrada de luz natural durante todo el día. El inmueble cuenta con tres amplios dormitorios y dos baños, ideales para familias que buscan espacio y comodidad. El salón independiente proporciona un área de estar perfecta para el descanso y",https://www.idealista.com/inmueble/108046286/
106751275,Casa o chalet independiente,Calle Eibar,El Plantío,Madrid,9.000.000€,9,1.674,False,"Impresionante independiente de 1.600 m² sobre una parcela de 2.890 m² ubicado en un exclusivo recinto privado con vistas al Monte de El Pardo en La Florida. Si hay una ubicación privilegiada para vivir en un entorno natural sin igual y a la vez estar a menos de 10 minutos del centro es la prestigiosa urbanización de La Florida, una de las urbanizaciones más exclusivas de Madrid presidida por el Monte de El Pardo. Esta exclusiva vivienda se encuentra a su vez situada en un recinto privado para un selecto número de vecinos permitiendo disfruta",https://www.idealista.com/inmueble/106751275/
108361180,Piso,Calle de Esparteros,Sol,Madrid,760.000€,5,140,False,"Amplio piso en el centro de Madrid Engel&Völkers presenta esta vivienda interior, ubicada en pleno corazón del centro de Madrid, a pocos metros de la Plaza Mayor, del mercado de San Miguel y de la Puerta del Sol. El inmueble tiene 140 m2 construidos, está en una tercera planta de una finca típica de la zona, con un amplio portal y unas escaleras comunes de carpintería de madera, dispone de ascensor y de conserje. La vivienda dispone de un hall distribuidor, un salón comedor y cocina. La zona íntima está compuesta de 5 dormitorios y un baño co",https://www.idealista.com/inmueble/108361180/
108538807,Piso,Calle de las Aguas,Palacio,Madrid,850.000€,2,106,False,"Coqueta y luminosa propiedad con terraza en La Latina Engel & Völkers presenta esta luminosa y coqueta propiedad en el corazón del popular barrio de La Latina. Se trata de una propiedad exterior practicamente en su totalidad y se encuentra en la quarta planta con acsesor de una finca clásica de Madrid de los Austrias. La vivienda cuenta con una superficie construida total aproximada de 90m² y 16m² de terraza, distribuida en torno a recibidor y salón amplio, a todo ello se le suma a la terraza que está perfectamente integrada. El dormitorio p",https://www.idealista.com/inmueble/108538807/
102043012,Piso,Calle de Triana,Nueva España,Madrid,1.650.000€,2,181,False,"AMBASSADOR pone a la venta este espectacular bajo con jardín, ubicado en una calle tranquila cercana al Paseo de la Habana. Es una vivienda totalmente exterior con una reforma de interiorismo impecable y cuidada hasta el último detalle, tanto en domótica como en sus materiales y acabados de lujo. Tiene muchísima luz, privacidad y vistas despejadas hacia el jardín dando la sensación de estar en un chalet. El hall de entrada nos conduce al amplio salón comedor, mas una zona de despacho, todo ello con un gran ventanal de lado a lado de la par",https://www.idealista.com/inmueble/102043012/
